ID,물리항목,계산식,정립성,활성경로,논문_코드근거,적용한계
P01,전기장,E = −∇φ,정전기 정의,BC/기존; Reactive 전원 ON callback,"첨부 논문 A: JKSC 29(4), 2024, 21–33; DOI 10.15231/jksc.2024.29.4.021 식(2); python/ecsp_v6/physics/electrochem.py:349-477",시간변화 자기유도·전자기파 제외
P02,이온 수송,Ni = −Di∇ci − zi F Di ci ∇φ/(RT); ∂t ci + ∇·Ni = Si,Nernst–Planck 형태는 정립,BC; 후속 전원 ON에서 재계산,"첨부 논문 A: JKSC 29(4), 2024, 21–33; DOI 10.15231/jksc.2024.29.4.021 식(11)–(15),(24); python/ecsp_v6/physics/species.py",전기중성 2이온+물 모델; 응축상 BC 대류=0. 후속 보존 수송에는 ci u 추가; 농축계 보정 없음
P03,이온 전도도,σion = F² Σ zi² Di ci/(RT),Nernst–Einstein 구성관계,BC,"첨부 논문 A: JKSC 29(4), 2024, 21–33; DOI 10.15231/jksc.2024.29.4.021 식(13),(16); python/ecsp_v6/physics/bc_global.py:401-474",이상 수송 가정; σmin/max clamp는 수치/구성 제한
P04,전류·전하보존,J = −σ∇φ + Jdiff; ∇parallel·J = (χa ja − χc jc)/δs,전류보존을 두께평균,surface-contact BC,"첨부 논문 A: JKSC 29(4), 2024, 21–33; DOI 10.15231/jksc.2024.29.4.021 식(16),(17); python/ecsp_v6/physics/electrochem.py:2811-3052",2D 체적 source는 표면 주입을 평균한 것. 전극 아래 추진제 제거 안 함
P05,수송계수 온도의존,D(T)=Dref exp[−Ea/R(1/T−1/Tref)],Arrhenius 형태의 경험 구성식,BC,python/ecsp_v6/physics/bc_global.py:334-398,형태 자체가 LP/PVA 정확성을 보장하지 않음; 각 Dref/Ea nominal
P06,전극 계면반응,j=[j0(a exp(βnFη/RT)−b exp(−(1−β)nFη/RT))]+; η=[Δφ−Eeq]+,Butler–Volmer 기반 제한된 변형,BC/기존,"첨부 논문 A: JKSC 29(4), 2024, 21–33; DOI 10.15231/jksc.2024.29.4.021 식(7); python/ecsp_v6/physics/electrochem.py:1210-1272","η·j 비음수, reverse availability 고정, exp clip; 완전 가역 다종 BV와 다름"
P07,Faraday 반응률,νe″=j/(nF); species sink=stoichiometry×j/F/δs,Faraday 법칙,BC/기존/후속 ON,"첨부 논문 A: JKSC 29(4), 2024, 21–33; DOI 10.15231/jksc.2024.29.4.021 식(8),(15); python/ecsp_v6/physics/electrochem.py:3055-3327",각 채널 반응·전자수·소모계수의 실제 화학적 정당성은 별도 검증
P08,벌크·법선 Joule 발열,qJ‴=σ|∇parallelφ|² + Σcontact jn² ℓn/(σ δs),Ohmic 손실 + 유효 접촉저항,BC/기존/후속 ON,python/ecsp_v6/physics/electrochem.py:206-347; python/ecsp_v6/physics/electrochem.py:3329-3458,실제 구현은 harmonic face conductance의 보존 전력; 논문 A 식(9)의 |∇φ||Jtotal|와 일반적으로 같지 않음
P09,계면반응 발열,qechem‴ = Σr χr jr ΔHr/(nr F δs),반응엔탈피×반응률 구조,BC/기존/후속 ON,"첨부 논문 A: JKSC 29(4), 2024, 21–33; DOI 10.15231/jksc.2024.29.4.021 식(10),(23); python/ecsp_v6/physics/electrochem.py:855-867",채널 ΔH nominal·양수. BC는 별도 jη 활성화 열 OFF; 전체 전기/화학 에너지 기준 검증 필요
P10,열전도,qcond‴ = ∇·(k(T)∇T),Fourier 법칙,BC/기존/두 후속,"첨부 논문 A: JKSC 29(4), 2024, 21–33; DOI 10.15231/jksc.2024.29.4.021 식(23); 첨부 논문 B: KSPE 28(3), 2024, 31–40; DOI 10.6108/KSPE.2024.28.3.031 식(2); python/ecsp_nsga2/propagation.py:288-323",평면 내 Fourier; 깊이 온도장 직접 계산하지 않음
P11,열손실,qloss‴ = h(T−T∞)/δs + εσSB(T⁴−T∞⁴)/δs,Newton 냉각·Stefan–Boltzmann,BC/기존/두 후속,python/ecsp_reactive/condensed/solver.py:105-113,"h,ε는 유효 경계조건; 주변 기체 유동/복사 전달식 미해석"
P12,BC 응축상 에너지,ρ cp(T) ∂tT = ∇·(k∇T)+qJ+qechem+ρΣQi ri−qloss,에너지보존 + 축약 구성식,BC/기존 propagation,"첨부 논문 A: JKSC 29(4), 2024, 21–33; DOI 10.15231/jksc.2024.29.4.021 식(23); python/ecsp_v6/physics/bc_global.py:2591-3985; python/ecsp_nsga2/propagation.py:663-2160",고정 밀도·무대류. 기존 continuation explicit T 갱신; 새 모델은 cp 적분 에너지
P13,두 채널 분해,ri = exp[Li(αi)−Ei(αi)/(RT)]; αi≥1 → ri=0,변환율 의존 Arrhenius 경험 속도론,BC/두 후속,python/ecsp_v6/physics/bc_global.py:617-632; python/ecsp_reactive/condensed/chemistry.py:57-60,Li=ln(Af/s⁻¹); (1−α)^n 추가 금지. 두 첨부 논문이 전체 LUT를 제공한 것은 아님
P14,반응 진행과 재고,"X=w1α1+w2α2; ξ=ξmax X; ΔLP=−1.45Δξ, ΔPVA=−Δξ, ΔH2Oprod=2Δξ",정해진 global stoichiometry의 수지,BC/두 후속,python/ecsp_v6/physics/bc_global.py:643-757; python/ecsp_reactive/condensed/chemistry.py:62-99,1.45 LiClO4+PVA repeat→2 CO2+2 H2O+0.4 O2+1.45 LiCl. 상세 반응경로/가스수송 아님
P15,응축상 질량·운동량,∂tρ+∇·(ρu)=0; ∂t(ρu)+∇·(ρu⊗u+pI)=0,Euler 보존식,새 Reactive/reference,"첨부 논문 B: KSPE 28(3), 2024, 31–40; DOI 10.6108/KSPE.2024.28.3.031 식(1); python/ecsp_reactive/condensed/finite_volume.py:134-158",비점성 연속체; 고체 전단응력/탄성/점성/기화 source 없음
P16,단일 응축상 총에너지,∂t(ρE)+∇·[(ρE+p)u]=∇·(k∇T)+qJ+qechem+ρΣQi ri−qloss,Euler 에너지에 Fourier/열원 결합,새 Reactive,python/ecsp_reactive/condensed/solver.py:136-164; python/ecsp_reactive/condensed/tensor_math.py:317-337,E=e+|u|²/2; 독립 solid.py 온도 중복 적분 없음; 단순 순수 Euler가 아니라 Euler–Fourier
P17,두 보존 진행변수,"∂t(ραi)+∇·(ρuαi)=ρri; i=1,2",반응성 보존 스칼라,새 Reactive,python/ecsp_reactive/condensed/chemistry.py:62-99; python/ecsp_reactive/condensed/tensor_math.py:159-177,α1·α2 별개 유지. 시약 부족 공통 제한율로 실제 반응량과 열 동시 제한
P18,6개 재고 보존수송,∂tcj+∇·(u cj)=Sj (+ NP migration/diffusion and Faradaic source when powered),종/재고 수지,새 Reactive,python/ecsp_reactive/condensed/chemistry.py; python/ecsp_reactive/condensed/tensor_electrical.py,추가 6성분은 mol/m³이며 추가 bulk density가 아님. LP/PVA/생성수 수지≠모든 생성물 종별 해석
P19,Tait EOS,p=A+B[(ρ/ρ0)^N−1]; c²=(BN/ρ0)(ρ/ρ0)^(N−1),정립된 barotropic EOS 형태,새 Reactive/reference,"첨부 논문 B: KSPE 28(3), 2024, 31–40; DOI 10.6108/KSPE.2024.28.3.031 식(3); python/ecsp_reactive/condensed/thermo.py:88-90","A,B,N,ρ0는 미보정. p는 T/e에 독립; 열팽창·에너지 유도 압력파 없음"
P20,caloric completion,"e(ρ,T)=∫ρ0^ρ p(r)/r² dr + ∫Tref^T cp(θ)dθ",EOS를 닫는 명시적 추가 가정,새 Reactive,python/ecsp_reactive/condensed/thermo.py:103-104,"첨부 논문 직접 제공식 아님. 이 barotropic 완성에서는 cp=cv, 열팽창 0; k/cp 표 유지"
