file,line,source,interpretation
cpp/bc_native/bc_engine.cpp,150,"int maxit=get_int(cfg,""outer_max"",120),minit=get_int(cfg,""outer_min"",2);double relax=get(cfg,""outer_relax"",.35);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,310,"TORCH_CHECK(std::abs(xs[0].item<double>())<=1e-12&&std::abs(xs[item.size-1].item<double>()-1)<=1e-12,",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,337,"double linear_rtol=get(cfg,""linear_rtol"",1e-9),linear_atol=get(cfg,""linear_atol"",1e-12);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,338,"double outer_relax=get(cfg,""outer_relax"",.35),outer_phi_tol=get(cfg,""outer_phi_tol"",.01),outer_current_tol=get(cfg,""outer_current_tol"",.005);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,339,"double balance_rel=get(cfg,""balance_rel"",.005),balance_abs=get(cfg,""balance_abs"",1e-12);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,345,"double end=get(cfg,""end"",2),eval=get(cfg,""evaluation"",end),snapshot=get(cfg,""snapshot"",.02),electrical_interval=get(cfg,""electrical_interval"",.0025);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,347,"double evaluation_end_tol=64*std::max(std::numeric_limits<double>::denorm_min(),",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,353,"double electrical_step_tol=64*std::numeric_limits<double>::epsilon()*std::max(1.,std::abs(electrical_step_ratio));",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,359,"double evaluation_tol=64*std::numeric_limits<double>::epsilon()*std::max(1.,std::abs(evaluation_ratio));",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,363,"double onset_T=get(cfg,""onset_T"",523.15),onset_X=get(cfg,""onset_X"",.01),onset_A=get(cfg,""onset_area"",.01);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,365,constexpr int NH=24;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,366,"double max_steps_raw=get(cfg,""max_steps"",100000);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,367,"double max_history_bytes=get(cfg,""max_history_bytes"",16.0*1024.0*1024.0*1024.0);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,374,"double ratio_tol=64*std::numeric_limits<double>::epsilon()*std::max(1.,std::abs(ratio));",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,384,"double stop_value=get(cfg,""stop_on_onset"",0),save_value=get(cfg,""save_handoff"",0);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,393,long double snapshot_values=static_cast<long double>(4)*snapshot_count_upper*,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
